ID,Gerencia,Iniciativa,Macroproyecto_Revisado,SubAgrupacion,Keywords,Aporte_Estrategico,Estado
60,Marketing,"Coach para prospectos​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"coach, prospectos, ventas, comercial",Sistémico,Existente
61,Marketing,"Agente gestión de red​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Red,"agente, gestión, red, sucursales",Sistémico,Existente
62,Marketing,"Asistente planificador de ruta según criterios específicos​",,Gestión de Red,"asistente, planificador, ruta, criterios, sucursales",Táctico / Bajo Alineamiento,Existente
63,Marketing,"Monitoreo comportamiento sucursales​",Torre de Control y Logística Predictiva (Gemelo Digital),Reporting y Paneles,"monitoreo, comportamiento, sucursales, reporting",Sistémico,Existente
64,Marketing,"Agente Validador de cuadraturas en liquidaciones​",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"validador, cuadraturas, liquidaciones, automatización",Sistémico,Existente
65,Marketing,"Automatización de permisología para apertura de sucursales​",Centro de Automatización Inteligente (Back-Office Eficiente),Procesos Administrativos,"automatización, permisología, apertura, sucursales",Sistémico,Existente
66,Marketing,"Agente optimizador de cobertura territorial​",Torre de Control y Logística Predictiva (Gemelo Digital),Gestión de Red,"agente, optimizador, cobertura, territorial, expansión",Individual,Existente
67,Marketing,"Monetizar productos de IA para emprendedores​",Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"monetizar, productos IA, emprendedores, innovación",Individual,Existente
68,Marketing,MetaHumano​,Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"metahumano, innovación, avatar",Sistémico,Existente
69,Marketing,"Asistente de diseño de productos con IA​",Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"asistente, diseño, productos, IA, innovación",Sistémico,Existente
70,Comercial,"Asistente continuo de desempeño del equipo comercial​",Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"asistente, desempeño, equipo comercial, feedback",Sistémico,Existente
71,Comercial,"Asistente de análisis de revenue​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Reporting y Paneles,"asistente, análisis, revenue, reporting, finanzas",Sistémico,Existente
72,Comercial,"Gestión de fuga​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Fidelización y Churn,"gestión, fuga, retención, churn, cliente",Sistémico,Existente
73,Comercial,"Gestión de prospectos​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Ventas y Prospección,"gestión, prospectos, ventas, comercial, CRM",Sistémico,Existente
74,Comercial,"Emilia Empresas​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"Emilia, empresas, chatbot, asistente virtual",Sistémico,Existente
75,Comercial,"Gestión de retiros​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, retiros, cliente, soporte",Sistémico,Existente
76,Comercial,Voz del cliente​,Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"voz del cliente, feedback, satisfacción, comercial",Sistémico,Existente
77,Comercial,"Emilia Personas 2.0​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"Emilia, personas, 2.0, chatbot, asistente virtual",Sistémico,Existente
78,Comercial,"Gestión de pagos para envíos internacionales​",Centro de Automatización Inteligente (Back-Office Eficiente),Pagos,"gestión, pagos, envíos internacionales, finanzas",Sistémico,Existente
79,Comercial,"Coach de atención comercial​",Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"coach, atención comercial, capacitación, equipo",Sistémico,Existente
80,Comercial,"Asistente para forecasting de ventas​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Análisis Predictivo,"asistente, forecasting, ventas, predicción",Sistémico,Existente
81,Comercial,"Asistente de control operacional​",Torre de Control y Logística Predictiva (Gemelo Digital),Control y Monitoreo,"asistente, control operacional, comercial, monitoreo",Sistémico,Existente
82,Comercial,"Gestión de reclamos SERNAC​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, reclamos, SERNAC, legal, cliente",Sistémico,Existente
83,Comercial,"Gestión de contactabilidad con el cliente​",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Atención al Cliente,"gestión, contactibilidad, cliente, comunicación",Sistémico,Existente
84,Finanzas,"Control de caja en oficina (proactividad del control cajas )",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"control, caja, oficina, proactividad, finanzas",Sistémico,Existente
85,Finanzas,"Automatización o predicción del flujo de caja (plan de ventas)",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, predicción, flujo de caja, plan de ventas",Sistémico,Existente
86,Finanzas,Automatización de procesos SAP,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, procesos, SAP, ERP",Individual,Existente
87,Finanzas,Automatización de la depuración de la base de proveedores,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, depuración, base de proveedores, finanzas",Sistémico,Existente
88,Finanzas,Automatización de conciliaciones bancarias,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, conciliaciones bancarias, finanzas",Sistémico,Existente
89,Finanzas," automatización del ingreso de las facturas recibidas",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, ingreso, facturas, recibidas, AP",Sistémico,Existente
90,Finanzas,CRM – SAP para pagos de indemnizaciones,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"CRM, SAP, pagos, indemnizaciones, integración",Sistémico,Existente
91,Finanzas,Automatización de aumento de crédito,Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"automatización, aumento, crédito, clientes, finanzas",Sistémico,Existente
92,Finanzas,"Control del descuento aplicado a clientes – Carga de listas de precios",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Pricing,"control, descuento, clientes, carga, listas de precios",Sistémico,Existente
93,Finanzas,Panel de cuentas contables,Centro de Automatización Inteligente (Back-Office Eficiente),Reporting y Paneles,"panel, cuentas contables, finanzas, reporting",Sistémico,Existente
94,Finanzas,"Saldo, cargos, abonos, control y notificación a eventos.",Centro de Automatización Inteligente (Back-Office Eficiente),Reporting y Paneles,"saldo, cargos, abonos, control, notificación, eventos, finanzas",Sistémico,Existente
95,Gobierno,"Creación de Plataforma de Datos Unificada (Data Lakehouse)",Torre de Control y Logística Predictiva (Gemelo Digital),Gobierno de Datos,"data lakehouse, plataforma de datos, single source of truth, gobierno",Habilitador,Propuesto
96,Gobierno,"Creación de Plataforma de Datos Unificada (Data Lakehouse)",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Gobierno de Datos,"data lakehouse, plataforma de datos, single source of truth, gobierno",Habilitador,Propuesto
97,Operaciones,"Implementación del Gemelo Digital Operacional",Torre de Control y Logística Predictiva (Gemelo Digital),Gemelo Digital,"gemelo digital, simulación, optimización, tiempo real, torre de control",Sistémico,Propuesto
98,Comercial,"Motor de Recomendación y Siguiente Mejor Oferta (NBO)",Plataforma 360° de Inteligencia de Cliente y Crecimiento,Personalización,"motor de recomendación, NBO, venta cruzada, up-selling",Sistémico,Propuesto
99,Personas,"Plataforma de Aprendizaje Adaptativo y Plan de Carrera",Asistente Corporativo IA para el Talento y Desempeño,Capacitación y Desempeño,"aprendizaje adaptativo, e-learning, plan de carrera, skills",Sistémico,Propuesto
100,Finanzas,"Procesamiento Inteligente de Documentos (IDP)",Centro de Automatización Inteligente (Back-Office Eficiente),Finanzas y Contabilidad,"IDP, procesamiento de documentos, facturas, contratos, OCR",Sistémico,Propuesto
101,Marketing,"Logística como Servicio (LaaS) para E-commerce",Innovación y Desarrollo de Nuevos Negocios Digitales,Nuevos Productos/Servicios,"LaaS, e-commerce, fulfillment, logística para terceros",Individual,Propuesto
